time_step,K_value,pre_std,post_std,delivered_total,total_loss,num_plans,energy_avg,energy_std
7320,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7380,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7440,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7500,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7560,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7620,1,0.0,0.0,0.0,0.0,0,41149.883083464694,0.0
7680,1,0.0,0.0,0.0,0.0,0,41161.39110570319,0.0
7740,1,0.0,0.0,0.0,0.0,0,41179.65358622805,0.0
7800,1,0.0,0.0,0.0,0.0,0,41203.42596717167,0.0
7860,1,0.0,0.0,0.0,0.0,0,41231.08820005847,0.0
7920,1,0.0,0.0,0.0,0.0,0,41260.75514943121,0.0
7980,1,0.0,0.0,0.0,0.0,0,41290.40506171709,0.0
8040,1,0.0,0.0,0.0,0.0,0,41318.01734439263,0.0
8100,1,0.0,0.0,0.0,0.0,0,41341.71026602496,0.0
8160,1,7.275957614183426e-12,7.275957614183426e-12,0.0,0.0,0,41359.86919315923,7.275957614183426e-12
8220,1,0.0,0.0,0.0,0.0,0,41371.25662492027,0.0
8280,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8340,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8400,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8460,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8520,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8580,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8640,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8700,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8760,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8820,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8880,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
8940,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
9000,1,0.0,0.0,0.0,0.0,0,41375.096526652225,0.0
9060,1,0.0,0.0,0.0,0.0,0,41379.06583790673,0.0
9120,1,7.275957614183426e-12,7.275957614183426e-12,0.0,0.0,0,41390.57386014522,7.275957614183426e-12
9180,1,0.0,0.0,0.0,0.0,0,41408.83634067009,0.0
9240,1,0.0,0.0,0.0,0.0,0,41432.60872161371,0.0
9300,1,0.0,0.0,0.0,0.0,0,41460.270954500505,0.0
9360,1,0.0,0.0,0.0,0.0,0,41489.937903873244,0.0
9420,1,0.0,0.0,0.0,0.0,0,41519.587816159124,0.0
9480,1,0.0,0.0,0.0,0.0,0,41547.20009883467,0.0
9540,1,0.0,0.0,0.0,0.0,0,41570.893020466996,0.0
9600,1,0.0,0.0,0.0,0.0,0,41589.05194760126,0.0
9660,1,0.0,0.0,0.0,0.0,0,41600.43937936231,0.0
9720,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
9780,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
9840,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
9900,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
9960,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
10020,1,0.0,0.0,0.0,0.0,0,41604.27928109426,0.0
